,Amplitude
0,0.0
1,0.0
2,495.0
3,505.0
4,454.0
5,374.0
6,314.0
7,310.0
8,364.0
9,445.0
10,502.0
11,501.0
12,443.0
13,363.0
14,3.0
15,401.0
16,330.0
17,304.0
18,341.0
19,418.0
20,488.0
21,508.0
22,467.0
23,388.0
24,321.0
25,306.0
26,352.0
27,432.0
28,495.0
29,505.0
30,454.0
31,374.0
32,314.0
33,310.0
34,364.0
35,445.0
36,502.0
37,501.0
38,443.0
39,363.0
40,3487.0
41,508.0
42,466.0
43,387.0
44,321.0
45,306.0
46,352.0
47,431.0
48,495.0
49,504.0
50,454.0
51,374.0
52,314.0
53,310.0
54,364.0
55,445.0
56,501.0
57,499.0
58,441.0
59,361.0
60,309.0
61,315.0
62,377.0
63,457.0
64,505.0
65,493.0
66,429.0
67,350.0
68,305.0
69,322.0
70,390.0
71,467.0
72,508.0
73,486.0
74,415.0
75,339.0
76,304.0
77,331.0
78,403.0
79,478.0
80,508.0
81,477.0
82,402.0
83,329.0
84,304.0
85,340.0
86,417.0
87,487.0
88,508.0
89,466.0
90,388.0
91,322.0
92,306.0
93,351.0
94,430.0
95,495.0
96,505.0
97,455.0
98,375.0
99,315.0
100,309.0
101,363.0
102,443.0
103,500.0
104,500.0
105,443.0
106,363.0
107,310.0
108,314.0
109,374.0
110,455.0
111,505.0
112,495.0
113,431.0
114,351.0
115,306.0
116,321.0
117,388.0
118,466.0
119,508.0
120,487.0
121,417.0
122,340.0
123,304.0
124,330.0
125,402.0
126,477.0
127,509.0
128,478.0
129,403.0
130,330.0
131,304.0
132,339.0
133,415.0
134,486.0
135,508.0
136,467.0
137,390.0
138,322.0
139,306.0
140,350.0
141,429.0
142,494.0
143,505.0
144,456.0
145,377.0
146,315.0
147,309.0
148,361.0
149,441.0
150,500.0
151,501.0
152,445.0
153,365.0
154,310.0
155,314.0
156,374.0
157,454.0
158,504.0
159,495.0
160,431.0
161,352.0
162,306.0
163,321.0
164,388.0
165,466.0
166,507.0
167,487.0
168,417.0
169,341.0
170,304.0
171,329.0
172,401.0
173,477.0
174,509.0
175,479.0
176,404.0
177,331.0
178,304.0
179,338.0
180,414.0
181,485.0
182,508.0
183,469.0
184,391.0
185,323.0
186,305.0
187,348.0
188,427.0
189,493.0
190,506.0
191,458.0
192,378.0
193,316.0
194,309.0
195,360.0
196,440.0
197,499.0
198,501.0
199,445.0
200,365.0
201,310.0
202,314.0
203,373.0
204,453.0
205,504.0
206,496.0
207,432.0
208,352.0
209,306.0
210,320.0
211,386.0
212,465.0
213,507.0
214,488.0
215,419.0
216,342.0
217,304.0
218,328.0
219,399.0
220,475.0
221,508.0
222,480.0
223,406.0
224,333.0
225,304.0
226,337.0
227,413.0
228,484.0
229,508.0
230,470.0
231,392.0
232,324.0
233,305.0
234,348.0
235,426.0
236,492.0
237,506.0
238,458.0
239,379.0
240,316.0
241,308.0
242,360.0
243,440.0
244,499.0
245,502.0
246,446.0
247,366.0
248,311.0
249,313.0
250,372.0
251,452.0
252,504.0
253,496.0
254,433.0
255,354.0
256,307.0
257,320.0
258,385.0
259,464.0
260,507.0
261,489.0
262,420.0
263,343.0
264,304.0
265,327.0
266,398.0
267,474.0
268,509.0
269,481.0
270,407.0
271,333.0
272,304.0
273,336.0
274,412.0
275,484.0
276,508.0
277,470.0
278,393.0
279,324.0
280,305.0
281,347.0
282,426.0
283,492.0
284,506.0
285,459.0
286,380.0
287,317.0
288,308.0
289,359.0
290,439.0
291,499.0
292,502.0
293,447.0
294,368.0
295,311.0
296,313.0
297,371.0
298,451.0
299,504.0
300,497.0
301,435.0
302,356.0
303,307.0
304,319.0
305,383.0
306,462.0
307,507.0
308,490.0
309,421.0
310,344.0
311,304.0
312,327.0
313,397.0
314,473.0
315,508.0
316,481.0
317,408.0
318,334.0
319,304.0
320,336.0
321,411.0
322,483.0
323,508.0
324,471.0
325,394.0
326,325.0
327,305.0
328,346.0
329,424.0
330,491.0
331,506.0
332,461.0
333,381.0
334,318.0
335,308.0
336,357.0
337,437.0
338,497.0
339,503.0
340,449.0
341,369.0
342,312.0
343,312.0
344,370.0
345,450.0
346,503.0
347,497.0
348,436.0
349,356.0
350,307.0
351,318.0
352,383.0
353,462.0
354,507.0
355,491.0
356,422.0
357,345.0
358,305.0
359,326.0
360,397.0
361,473.0
362,508.0
363,482.0
364,408.0
365,334.0
366,304.0
367,335.0
368,410.0
369,482.0
370,508.0
371,472.0
372,396.0
373,326.0
374,305.0
375,345.0
376,423.0
377,490.0
378,506.0
379,462.0
380,383.0
381,318.0
382,307.0
383,356.0
384,436.0
385,498.0
386,503.0
387,450.0
388,370.0
389,312.0
390,312.0
391,369.0
392,448.0
393,503.0
394,498.0
395,437.0
396,357.0
397,308.0
398,318.0
399,382.0
400,461.0
401,507.0
402,491.0
403,423.0
404,345.0
405,305.0
406,325.0
407,395.0
408,471.0
409,508.0
410,483.0
411,410.0
412,336.0
413,304.0
414,334.0
415,408.0
416,481.0
417,508.0
418,473.0
419,397.0
420,327.0
421,304.0
422,344.0
423,422.0
424,490.0
425,507.0
426,463.0
427,383.0
428,319.0
429,307.0
430,356.0
431,435.0
432,497.0
433,503.0
434,450.0
435,370.0
436,313.0
437,312.0
438,368.0
439,448.0
440,503.0
441,498.0
442,438.0
443,358.0
444,308.0
445,317.0
446,380.0
447,459.0
448,506.0
449,492.0
450,425.0
451,347.0
452,305.0
453,324.0
454,393.0
455,470.0
456,508.0
457,484.0
458,412.0
459,337.0
460,304.0
461,333.0
462,406.0
463,481.0
464,509.0
465,475.0
466,399.0
467,327.0
468,304.0
469,343.0
470,420.0
471,489.0
472,507.0
473,463.0
474,385.0
475,319.0
476,307.0
477,354.0
478,434.0
479,496.0
480,504.0
481,452.0
482,372.0
483,313.0
484,310.0
485,366.0
486,446.0
487,501.0
488,499.0
489,440.0
490,361.0
491,309.0
492,317.0
493,379.0
494,458.0
495,506.0
496,492.0
497,427.0
498,348.0
499,305.0
500,323.0
501,391.0
502,469.0
503,508.0
504,485.0
505,414.0
506,338.0
507,304.0
508,332.0
509,405.0
510,479.0
511,509.0
512,475.0
513,400.0
514,328.0
515,304.0
516,342.0
517,418.0
518,488.0
519,508.0
520,465.0
521,387.0
522,321.0
523,306.0
524,352.0
525,431.0
526,495.0
527,505.0
528,454.0
529,375.0
530,314.0
531,310.0
532,363.0
533,444.0
534,501.0
535,500.0
536,442.0
537,362.0
538,309.0
539,315.0
540,376.0
541,457.0
542,505.0
543,494.0
544,429.0
545,350.0
546,306.0
547,322.0
548,390.0
549,468.0
550,508.0
551,486.0
552,415.0
553,339.0
554,304.0
555,331.0
556,403.0
557,478.0
558,509.0
559,477.0
560,402.0
561,330.0
562,304.0
563,340.0
564,416.0
565,486.0
566,508.0
567,467.0
568,389.0
569,322.0
570,306.0
571,351.0
