PPG (1000 Hz),ABP (125 Hz),RESP (125 Hz)
2083.77,114.15,33.31
2030.11,108.15,32.67
2012.23,101.89,33.32
2039.06,95.09,34.15
2110.60,103.28,34.99
2065.89,88.96,34.18
2083.77,96.28,35.62
2083.77,78.58,34.90
2039.06,97.36,37.94
2074.83,76.05,37.07
2065.89,90.17,39.98
2083.77,70.17,37.91
2119.55,83.87,40.55
2065.89,68.90,38.93
2021.17,76.74,42.40
2074.83,61.10,41.59
2065.89,75.18,43.92
2074.83,59.23,42.90
2092.72,73.61,44.87
2083.77,66.45,44.48
2083.77,74.27,46.13
2048.00,66.53,45.54
2056.94,75.96,46.85
2030.11,71.46,47.24
2074.83,75.66,45.36
2092.72,76.91,46.50
2110.60,73.36,46.00
2074.83,71.42,47.89
2119.55,66.42,46.64
2021.17,79.50,48.74
2039.06,66.93,47.32
2030.11,73.04,47.86
2039.06,62.64,47.25
2083.77,73.46,49.33
2030.11,60.30,47.10
2056.94,77.49,49.85
2012.23,53.71,46.68
2039.06,79.14,49.14
2048.00,57.33,48.04
2048.00,74.15,50.32
2074.83,58.14,47.07
2030.11,74.46,50.32
2021.17,58.50,47.77
1985.40,71.47,49.07
2030.11,53.60,48.55
2012.23,70.51,50.41
2074.83,64.99,48.17
1985.40,67.42,48.37
1985.40,62.60,48.67
2021.17,63.40,48.29
1994.34,64.77,47.49
2039.06,60.54,47.12
2048.00,69.25,48.12
2039.06,70.70,47.09
1985.40,94.30,48.38
2003.28,88.20,45.74
2021.17,116.09,50.06
1994.34,111.14,47.34
2039.06,135.08,49.49
1976.45,126.47,47.62
1985.40,140.11,50.10
2012.23,124.81,48.68
2030.11,137.04,51.18
2030.11,117.55,48.53
2003.28,126.73,52.17
2003.28,107.68,49.70
2021.17,115.19,51.04
2056.94,98.59,49.42
2003.28,106.15,53.33
2048.00,93.47,51.30
2039.06,99.74,52.64
1994.34,92.79,52.91
2021.17,93.96,53.60
2039.06,88.15,52.40
1985.40,90.47,53.40
2012.23,85.71,53.83
2003.28,76.78,54.06
2021.17,80.72,54.91
2012.23,73.09,52.77
2021.17,84.85,55.02
2039.06,65.51,53.00
1976.45,82.17,54.76
1985.40,65.75,52.75
2003.28,83.85,55.24
2048.00,67.14,52.02
2048.00,89.61,54.34
2003.28,71.00,52.54
2012.23,87.38,55.69
1976.45,69.77,53.93
2012.23,91.27,55.76
2021.17,68.56,52.74
2030.11,82.01,54.84
1958.57,67.48,53.22
2003.28,84.25,54.27
1985.40,64.67,52.26
1976.45,79.33,53.55
2012.23,70.02,52.35
1985.40,75.99,52.24
2039.06,70.78,52.16
2012.23,74.37,52.26
2065.89,77.36,50.75
2021.17,69.92,49.38
2021.17,73.22,50.52
2048.00,64.83,49.10
2065.89,72.05,51.71
2012.23,63.57,47.31
2003.28,73.45,49.54
2039.06,57.14,47.35
2003.28,75.56,47.85
2012.23,59.26,45.51
2030.11,73.68,46.48
1994.34,56.34,43.63
2021.17,72.53,45.51
2003.28,52.97,42.17
1994.34,73.32,45.15
2030.11,59.20,41.85
1976.45,76.73,42.59
2039.06,70.85,40.10
2030.11,93.89,40.53
1994.34,95.02,38.63
2012.23,112.62,39.73
1958.57,118.93,38.62
2021.17,132.52,37.94
2012.23,130.99,35.78
1994.34,137.27,34.93
1994.34,132.80,34.27
1976.45,128.26,33.24
2003.28,126.29,34.90
2003.28,117.84,32.92
1985.40,119.61,32.90
1985.40,100.00,29.44
1994.34,114.32,30.62
1994.34,94.57,29.34
2021.17,109.84,32.40
2021.17,87.49,26.51
2003.28,105.96,27.99
2012.23,87.78,25.20
1985.40,103.65,25.29
2065.89,79.41,23.92
1985.40,95.81,24.54
2003.28,76.62,22.76
1967.51,87.56,22.86
2048.00,71.97,20.10
2021.17,81.94,22.79
2021.17,67.85,19.86
1994.34,75.95,22.61
2030.11,66.14,20.80
2003.28,76.33,22.23
2039.06,75.57,20.78
2056.94,77.60,20.47
2021.17,80.38,20.83
1985.40,74.31,19.08
1994.34,82.74,22.37
2056.94,76.22,20.49
2039.06,81.53,19.79
2021.17,70.05,17.47
2039.06,80.02,21.84
1976.45,65.91,15.86
2048.00,85.97,20.81
2003.28,67.91,17.77
2021.17,81.77,19.04
2048.00,63.49,14.98
2056.94,81.74,18.53
2039.06,63.38,16.16
2030.11,78.91,19.17
2048.00,64.09,15.11
2030.11,80.81,18.28
2039.06,62.04,16.47
2083.77,75.72,18.38
2056.94,61.91,16.80
2021.17,70.31,17.19
2065.89,56.90,16.79
2101.66,73.02,16.61
2012.23,64.35,16.08
2012.23,67.31,17.25
2048.00,67.88,16.61
1985.40,62.47,16.46
2030.11,68.72,17.64
2065.89,60.62,17.60
2048.00,71.39,18.98
2056.94,57.95,17.42
2039.06,81.46,18.54
2039.06,77.27,17.00
1976.45,103.62,18.07
2056.94,98.10,15.59
2074.83,130.27,19.12
2021.17,119.22,16.10
2030.11,142.75,19.15
2030.11,126.26,16.45
2012.23,147.51,18.91
2056.94,127.40,16.16
2030.11,136.57,18.62
2056.94,112.74,15.99
2021.17,120.10,17.37
2056.94,103.24,15.55
2074.83,113.80,18.21
2074.83,100.01,15.16
2065.89,102.62,16.39
2065.89,97.91,14.29
2074.83,99.32,15.97
2101.66,101.04,15.97
2021.17,92.23,12.69
2092.72,96.35,14.89
2101.66,83.41,13.19
2074.83,91.51,15.32
2056.94,75.29,12.16
2137.43,81.80,14.21
2056.94,67.14,11.41
2128.49,81.00,13.64
2083.77,63.92,11.52
2110.60,80.98,13.20
2092.72,64.72,10.99
