,Amplitude
0,19.0
1,19.0
2,19.0
3,19.0
4,19.0
5,19.0
6,19.0
7,19.0
8,19.0
9,19.0
10,19.0
11,19.0
12,44.0
13,57.0
14,72.0
15,18.0
16,18.0
17,18.0
18,18.0
19,18.0
20,18.0
21,19.0
22,18.0
23,18.0
24,19.0
25,19.0
26,19.0
27,18.0
28,19.0
29,19.0
30,19.0
31,19.0
32,19.0
33,19.0
34,19.0
35,19.0
36,19.0
37,19.0
38,19.0
39,19.0
40,19.0
41,19.0
42,19.0
43,19.0
44,14.0
45,15.0
46,15.0
47,14.0
48,14.0
49,15.0
50,15.0
51,14.0
52,14.0
53,14.0
54,14.0
55,14.0
56,14.0
57,14.0
58,14.0
59,14.0
60,14.0
61,14.0
62,14.0
63,14.0
64,14.0
65,14.0
66,14.0
67,14.0
68,14.0
69,14.0
70,14.0
71,14.0
72,14.0
73,14.0
74,14.0
75,14.0
76,14.0
77,14.0
78,14.0
79,14.0
80,13.0
81,14.0
82,14.0
83,14.0
84,14.0
85,14.0
86,14.0
87,14.0
88,14.0
89,14.0
90,13.0
91,14.0
92,14.0
93,14.0
94,14.0
95,13.0
96,13.0
97,13.0
98,14.0
99,14.0
100,13.0
101,14.0
102,14.0
103,14.0
104,14.0
105,14.0
106,14.0
107,14.0
108,13.0
109,13.0
110,14.0
111,13.0
112,13.0
113,13.0
114,13.0
115,13.0
116,13.0
117,13.0
118,13.0
119,14.0
120,13.0
121,14.0
122,14.0
123,13.0
124,13.0
125,13.0
126,13.0
127,13.0
128,13.0
129,14.0
130,13.0
131,13.0
132,13.0
133,13.0
134,13.0
135,13.0
136,13.0
137,13.0
138,13.0
139,13.0
140,13.0
141,14.0
142,13.0
143,13.0
144,13.0
145,13.0
146,13.0
147,13.0
148,13.0
149,13.0
150,13.0
151,13.0
152,13.0
153,13.0
154,14.0
155,14.0
156,13.0
157,13.0
158,13.0
159,13.0
160,13.0
161,13.0
162,13.0
163,13.0
164,14.0
165,13.0
166,13.0
167,13.0
168,13.0
169,13.0
170,14.0
171,14.0
172,13.0
173,14.0
174,14.0
175,14.0
176,13.0
177,13.0
178,13.0
179,13.0
180,14.0
181,13.0
182,14.0
183,14.0
