,Amplitude
0,7.0
1,468.0
2,477.0
3,485.0
4,493.0
5,499.0
6,503.0
7,507.0
8,509.0
9,509.0
10,508.0
11,506.0
12,502.0
13,496.0
14,490.0
15,482.0
16,473.0
17,463.0
18,2.0
19,373.0
20,385.0
21,397.0
22,410.0
23,422.0
24,434.0
25,446.0
26,457.0
27,468.0
28,477.0
29,485.0
30,493.0
31,499.0
32,503.0
33,507.0
34,509.0
35,509.0
36,508.0
37,506.0
38,502.0
39,496.0
40,490.0
41,482.0
42,473.0
43,463.0
44,2.0
45,373.0
46,385.0
47,397.0
48,410.0
49,422.0
50,434.0
51,446.0
52,457.0
53,468.0
54,477.0
55,485.0
56,493.0
57,499.0
58,503.0
59,507.0
60,509.0
61,509.0
62,508.0
63,506.0
64,502.0
65,496.0
66,490.0
67,482.0
68,473.0
69,463.0
70,413.0
71,401.0
72,389.0
73,377.0
74,365.0
75,354.0
76,344.0
77,335.0
78,327.0
79,319.0
80,313.0
81,309.0
82,306.0
83,304.0
84,304.0
85,305.0
86,308.0
87,312.0
88,318.0
89,324.0
90,332.0
91,341.0
92,351.0
93,362.0
94,373.0
95,385.0
96,397.0
97,409.0
98,421.0
99,434.0
100,445.0
101,456.0
102,467.0
103,476.0
104,485.0
105,492.0
106,498.0
107,503.0
108,506.0
109,508.0
110,509.0
111,508.0
112,505.0
113,501.0
114,496.0
115,489.0
116,481.0
117,472.0
118,462.0
119,451.0
120,440.0
121,428.0
122,416.0
123,404.0
124,392.0
125,380.0
126,368.0
127,357.0
128,347.0
129,337.0
130,328.0
131,321.0
132,315.0
133,310.0
134,306.0
135,304.0
136,304.0
137,305.0
138,307.0
139,311.0
140,316.0
141,322.0
142,330.0
143,339.0
144,348.0
145,359.0
146,370.0
147,382.0
148,394.0
149,406.0
150,419.0
151,431.0
152,443.0
153,454.0
154,464.0
155,474.0
156,483.0
157,490.0
158,497.0
159,502.0
160,506.0
161,508.0
162,509.0
163,508.0
164,506.0
165,502.0
166,497.0
167,491.0
168,483.0
169,475.0
170,465.0
171,454.0
172,443.0
173,431.0
174,419.0
175,407.0
176,395.0
177,383.0
178,371.0
179,360.0
180,349.0
181,339.0
182,330.0
183,323.0
184,316.0
185,311.0
186,307.0
187,304.0
188,304.0
189,304.0
190,306.0
191,310.0
192,315.0
193,321.0
194,328.0
195,337.0
196,346.0
197,356.0
198,367.0
199,379.0
200,391.0
201,403.0
202,416.0
203,428.0
204,440.0
205,452.0
206,462.0
207,472.0
208,481.0
209,489.0
210,495.0
211,501.0
212,505.0
213,507.0
214,509.0
215,509.0
216,507.0
217,503.0
218,499.0
219,493.0
220,486.0
221,477.0
222,467.0
223,457.0
224,446.0
225,434.0
226,422.0
227,410.0
228,397.0
229,385.0
230,373.0
231,362.0
232,351.0
233,341.0
234,332.0
235,324.0
236,317.0
237,312.0
238,308.0
239,305.0
240,304.0
241,304.0
242,306.0
243,309.0
244,313.0
245,319.0
246,326.0
247,334.0
248,344.0
249,354.0
250,365.0
251,376.0
252,388.0
253,400.0
254,413.0
255,425.0
256,437.0
257,449.0
258,460.0
