DIA 0,DIA 5,DIA 15,DIA 20,DIA 30
-0.0057,0.002,-0.033,-0.0238,0.0585
-0.0012,0.008,-0.02,0.0196,0.0015
-0.0087,-0.004,-0.028,0.056,0.0465
-0.0024,0.02,0.022,0.0742,-0.0045
-0.0027,0.007,0.009,0.0266,0.0405
-0.0027,0.016,0.047,-0.0224,0.1155
-0.0003,0.005,-0.027,0.0924,0.0105
-0.0045,0.013,0.009,0.0182,0.0735
-0.003,0.015,0.009,0.021,-0.0165
-0.0051,-0.008,0.022,0.0308,-0.1755
-0.0012,0.014,0.018,0.042,-0.024
-0.0045,0.023,0.029,0.0826,0.009
-0.0072,0.018,-0.02,-0.0196,-0.0405
-0.0054,0.001,0.04,0.0476,-0.084
-0.0084,0.007,0.028,0.028,0.006
-0.0063,0.011,0.018,0.042,0.006
-0.0021,-0.005,0.022,0.0546,0.012
-0.0072,0.011,0.041,0.0308,0.027
-0.0039,0.013,-0.025,-0.042,0.0045
-0.0054,0.014,0.016,-0.0252,0.0165
0.0006,0.006,0.049,0.0182,-0.0015
-0.0021,0.012,0.007,-0.049,-0.027
-0.0066,0.013,-0.028,0.0196,-0.036
-0.0024,0.011,0.034,0.0448,0.012
-0.0033,0.033,0.027,-0.014,0.0645
-0.0054,0.01,-0.005,0.0196,0.051
0.0006,0.002,-0.041,0.0182,0.009
-0.0054,0.022,-0.013,0.0336,0.0165
-0.0018,0.003,-0.002,0.0644,0.051
-0.0012,0.013,0.062,0.0462,-0.0405
-0.0024,0.022,-0.024,0.0364,0.03
-0.003,0.015,0.037,0.0574,0.027
0.0012,0.019,-0.018,0.0182,0.051
-0.0045,0.024,0.01,-0.0742,0.0405
0.0027,0.009,0.025,-0.0196,-0.03
-0.0036,0.01,-0.022,-0.0014,0.0345
-0.006,-0.007,-0.006,-0.0658,0.021
-0.0072,0.012,-0.001,-0.0336,0.0345
0.0012,-0.011,0.013,0.0588,0.123
-0.0027,0.01,-0.008,0.0336,0.063
-0.0024,0.009,0.02,0.007,0.0615
-0.003,0.015,0.031,-0.035,0.006
-0.0021,0.012,-0.024,-0.0238,0.075
-0.0003,0.024,0.012,0.0014,-0.0495
-0.0045,0.017,0.06,0.0154,-0.045
-0.0009,0.01,0.06,0.0392,0.012
-0.0051,0.011,0.02,-0.0364,-0.015
0.0015,0.013,-0.004,-0.0042,0.009
-0.0033,0.016,-0.019,-0.0098,0.03
0.0015,0.021,-0.011,0.0476,0.0345
-0.009,0.016,0.013,0.0308,0.018
-0.0018,0.025,0.004,0.014,0.048
-0.0054,0.004,-0.027,0.0882,0.027
-0.003,0.002,0.008,-0.0322,0.054
0.0003,0.01,0.02,0.0098,0.0645
-0.0117,0.006,-0.058,0.0308,0.0345
0.0003,0.004,-0.023,0.0266,-0.0105
0,0.009,0.048,0.0266,-0.0045
-0.0021,0.02,-0.011,0.0154,-0.0045
-0.0057,0.014,-0.003,0.0084,0.0225
-0.0015,0.022,-0.038,0.0224,0.0585
-0.0015,0.016,-0.002,0.0364,0.0375
-0.0003,0.008,-0.05,0.0028,0.0315
-0.003,0.011,-0.03,0.0336,-0.012
-0.0084,0,0.059,-0.0126,-0.0165
-0.0048,0.017,0.01,0.0042,0.0105
-0.0024,0.019,0.022,-0.0378,0.024
-0.0003,0.009,0.026,-0.0364,0.057
-0.0006,0.004,0.029,-0.0154,0.105
-0.0042,0.014,0.007,-0.0252,0.0615
-0.0069,0.006,0,-0.0126,0.0405
-0.0111,0.003,-0.045,-0.0056,0.039
-0.0087,0.016,-0.024,0.0294,-0.0375
-0.0081,0.017,0.016,0.0196,-0.0855
-0.0054,0.014,-0.051,0.0154,-0.1215
-0.0012,0.002,-0.001,0.0826,-0.114
-0.0006,0.021,0.005,-0.0308,-0.108
0.0003,0.021,-0.041,0.0322,-0.042
0.0069,0.013,0.015,-0.0154,0.039
-0.0057,0.025,0.015,0.0042,0.0735
-0.0006,0.014,-0.002,0.0126,0.054
0.0009,0.008,-0.041,0.0126,0.066
-0.0006,0.007,-0.11,0.0028,0.0165
-0.0036,-0.008,-0.001,0.0252,-0.0075
-0.0099,0.016,0,-0.063,0.0015
0.0018,0.018,0.029,0.0168,-0.0045
-0.0066,0.011,-0.018,-0.063,0.012
0.0042,0.012,0.049,0.0084,-0.018
-0.0027,0.009,0.038,0.0224,-0.0315
0.0015,0.013,0.018,-0.0182,0.03
-0.0063,0.008,0.011,-0.0294,0.057
-0.0051,0.027,0.021,0.0238,0.0405
-0.0036,0.019,0.011,0.0098,0.084
-0.0021,0.023,0.038,0.0126,0.024
0.0006,0.017,-0.019,0.0014,0.0075
-0.0009,0.025,0.042,-0.0154,0.0405
0.0015,0.019,-0.008,-0.0168,0.0195
-0.003,0.015,0.038,-0.0084,0.045
-0.0009,0.015,0.007,-0.0308,0.0135
0.0012,0.029,0.023,-0.0084,0.0495
-0.0027,0.038,0.06,-0.0336,0.012
-0.0051,0.011,0.016,0.0014,-0.024
-0.0027,0.025,-0.008,-0.0434,-0.0045
-0.0075,0.007,0.06,0.0294,0.0405
-0.0072,0.013,0.014,0.0826,0.009
-0.0027,0.009,-0.037,0.0364,-0.0645
-0.0006,-0.007,0.016,0.0182,0.0015
0.0003,0.006,-0.003,0.0196,0.027
-0.0099,0.014,0.021,0.0098,-0.018
-0.0057,0.024,0.012,0.0196,0.1365
-0.0024,0.021,-0.003,-0.0196,0.021
0.0027,0.005,0.031,0.0182,0.015
0.0009,0.005,-0.006,-0.0014,0.018
-0.0075,0.014,-0.002,-0.0196,0.027
