SOL,MG,MH
0.007,-0.032,0.059
-0.029,0.012,0.025
0.008,-0.02,-0.009
0.032,-0.01,-0.001
-0.018,-0.003,0.004
-0.038,-0.007,0.002
0.041,-0.018,-0.005
0.029,0.026,-0.011
0.021,0.029,-0.02
0.017,-0.018,0
0.041,-0.003,0.004
0.033,0.009,0.01
0.016,-0.001,0.029
0.038,0.016,0.013
-0.023,-0.021,-0.022
0.018,-0.081,0
0.037,0.025,-0.013
0.002,0.112,0.008
0.033,-0.041,0.004
0.032,-0.003,0.014
0,0.036,0.027
0.007,0,0.017
0.031,-0.065,0.016
0.06,0.012,0.017
0.058,-0.04,-0.021
0.033,-0.041,-0.006
-0.138,0.123,0.008
-0.036,-0.015,0.01
0.028,-0.022,0.007
0.13,0.013,-0.008
0.21,-0.006,0.053
-0.012,0.008,0.035
-0.003,0.004,-0.002
0.017,-0.017,0.001
0.032,0.02,0.013
0.028,0.009,0.015
0.057,0.004,-0.013
0.058,0.023,0.013
0.054,0.029,0.011
0.031,0.022,-0.024
0.003,0.039,-0.002
0.013,0.007,0.026
0.017,-0.059,-0.004
-0.005,-0.013,-0.018
0.027,-0.006,-0.015
0.054,-0.079,0.018
0.025,-0.018,0.004
0.016,0.067,0.022
0.007,0.054,0.031
0.028,-0.042,-0.005
-0.004,-0.006,0
0.021,0.072,0.019
0.064,-0.011,0.003
0.051,-0.034,-0.003
0.041,-0.013,-0.008
-0.045,0.028,0
-0.038,-0.01,0.013
0.038,-0.051,0.018
0.022,0.015,0.026
0.024,0.018,-0.018
0.021,-0.027,0.002
0.055,-0.01,0.021
0.061,0.077,0.026
0.003,-0.047,0.01
0.012,0.028,-0.001
0.015,-0.008,0.01
0.072,-0.018,-0.006
0.037,0.086,-0.018
-0.071,0.022,-0.012
-0.026,-0.002,-0.025
0.042,0.029,-0.011
-0.006,0.008,-0.01
0.105,-0.108,0.019
-0.01,-0.027,-0.002
0.033,0.036,0.003
0.106,0.02,0.004
-0.034,-0.09,0.023
-0.051,0.079,0.024
-0.028,0.007,0.023
-0.032,0.017,-0.006
0.16,-0.06,-0.019
0.013,0.034,-0.013
0.099,-0.102,-0.004
0.183,0.007,0.007
-0.084,0.105,0.001
0.027,0.025,-0.012
-0.014,-0.035,0
-0.081,-0.002,0.009
0.023,0.002,-0.001
-0.025,-0.021,0
-0.104,0.029,0.009
0.011,0.029,0.003
0.165,-0.003,-0.005
0.037,0.013,-0.005
-0.04,-0.04,0.018
0.071,-0.054,0.017
0.033,0.015,-0.004
0.015,0.036,-0.012
-0.061,0.023,0.004
0.023,-0.031,-0.009
0.038,0.023,0.018
0.03,0.001,0
0.023,0.006,-0.003
0.03,0.019,0.007
0.038,-0.017,0.003
0.04,0.002,-0.003
0.025,-0.042,0
0.006,0.014,0.024
0.042,0.03,-0.004
0.027,0.024,-0.004
0.019,0.035,-0.009
0.013,0.004,0.007
0.012,0.001,0.011
0.053,-0.079,-0.013
0.045,-0.006,-0.007
0.036,-0.006,0.002
-0.022,-0.049,0.001
-0.03,0.003,0.015
-0.016,0.027,-0.009
-0.016,-0.026,0.013
-0.001,0.007,0.007
0.034,0.006,0.005
0.007,0.019,0.002
-0.016,-0.006,-0.002
0.042,-0.015,0.007
0.023,-0.005,-0.007
0.014,-0.039,0.018
0.012,-0.006,-0.004
0.021,0.042,0.01
0.059,0.022,-0.002
0.021,-0.012,0.022
-0.008,0.041,-0.005
-0.008,-0.004,-0.001
0.055,-0.04,0.005
0.005,0.066,-0.002
-0.152,0.085,0.006
-0.021,-0.012,-0.003
0.014,-0.02,-0.01
0.109,-0.007,-0.006
0.122,-0.02,0
-0.043,0.022,-0.006
-0.017,-0.02,-0.027
0.001,-0.027,0.005
0.004,-0.027,0.032
-0.007,-0.029,0.011
-0.016,0.049,-0.011
-0.025,-0.002,-0.007
0.039,-0.017,-0.002
0.009,0.008,0.003
0.007,-0.002,0.014
0.004,0.004,0.005
0.03,0.015,0.014
0.02,0.03,0.006
0.13,-0.021,-0.004
0.066,-0.017,0.006
-0.012,0.016,0.008
-0.02,0.024,-0.001
0.004,-0.034,0.021
-0.067,-0.007,0.01
-0.046,0.03,0.005
0.04,-0.015,-0.002
0.091,0.022,0.002
0.061,0.002,-0.012
0.019,0.035,0.004
-0.023,-0.02,0
0.033,0.025,-0.009
0.026,-0.055,-0.013
0.055,-0.033,0.002
0.018,-0.053,-0.002
0.012,0.003,-0.009
0.085,0,-0.005
0.031,-0.009,0.019
-0.018,-0.007,0.03
0.03,-0.029,-0.002
0.063,0.021,0.009
-0.02,0.016,-0.022
-0.18,-0.005,-0.02
0.052,-0.091,0.012
0.097,0.051,-0.008
0.072,0.169,0.017
0.124,0.016,-0.003
-0.026,-0.155,0.006
0.013,-0.025,-0.002
-0.006,0.056,-0.009
-0.111,-0.052,0
-0.037,0.032,0.005
0.12,0.009,-0.009
0.119,0.021,0.011
0.064,0.01,0.012
-0.035,-0.002,0.008
-0.003,-0.054,0.011
0.011,0.013,-0.001
0.018,-0.027,0.008
0.012,-0.046,0.002
0.104,0.022,0.013
0.107,0.001,0.031
0.105,-0.057,-0.003
0.047,-0.005,-0.012
-0.018,0.022,-0.003
-0.042,0.095,-0.022
0.04,-0.04,-0.015
0.021,-0.002,-0.016
-0.085,-0.03,0.014
-0.082,0.011,-0.003
0.095,-0.076,0.011
0.113,0.027,0.001
0.008,0.026,0.003
-0.119,0.018,-0.003
-0.035,0.018,-0.02
0.005,0.048,0.001
0.089,-0.019,0.012
0.181,-0.012,-0.001
0.043,-0.067,0
-0.103,-0.016,0.002
-0.022,-0.129,0.019
0.028,0.039,-0.008
-0.012,0.057,0.005
0.02,0.015,-0.001
0.028,0.007,0.009
-0.021,-0.004,-0.001
0.019,-0.026,-0.008
-0.002,-0.025,0.03
0.014,0.046,0.005
0.017,0.014,-0.007
0.014,-0.016,0.01
0.005,0.005,0.009
0,-0.002,-0.001
0.004,-0.009,-0.004
0.015,-0.014,0.006
0.007,0.035,0.006
0.007,-0.028,0.002
0.045,-0.003,0.002
-0.016,0.007,-0.007
0.033,-0.043,-0.015
0.041,-0.027,-0.004
0.001,-0.01,0.004
-0.014,-0.008,-0.001
-0.002,0.013,-0.009
0.011,-0.02,0.028
-0.02,-0.03,0.005
-0.064,-0.005,-0.014
-0.049,0.068,-0.021
0.002,0.024,-0.002
0.01,-0.051,0
0.014,-0.079,-0.021
0.042,-0.014,0
-0.046,0.067,0.016
0.088,0.023,0.008
0.118,0.071,0.016
0.028,-0.105,-0.007
-0.019,0.012,0.002
-0.02,-0.005,-0.006
0.074,0.003,-0.006
-0.004,-0.04,0.001
-0.04,0.033,-0.001
0.003,0.02,-0.02
0.032,-0.013,-0.007
0.029,0.017,0.007
0.053,-0.003,0.011
0.056,-0.019,-0.007
0.028,-0.041,-0.018
0.008,-0.006,0.009
-0.021,0.05,0.007
-0.028,0.042,0.004
0.082,0.022,0.004
0.078,-0.057,0.008
0.052,-0.013,0.015
-0.044,-0.018,-0.011
-0.086,-0.159,-0.008
-0.058,-0.014,-0.014
0.009,0.02,-0.004
0.11,-0.042,-0.007
0.077,0.098,0.003
-0.013,0.042,-0.003
0.004,0.02,-0.021
-0.063,0.009,-0.009
0.001,-0.007,0.003
0.023,-0.005,-0.007
0.092,-0.032,0.001
0.061,-0.1,0.014
-0.027,0.002,0.005
-0.011,0.007,-0.002
0.028,-0.036,-0.007
-0.095,0.001,-0.007
-0.041,-0.048,-0.019
0.032,0.022,0.002
0.087,0.043,0.014
0.239,0.004,0.009
0.245,-0.033,0.016
0.065,-0.08,0.006
-0.056,0.121,-0.003
-0.084,-0.032,0.009
-0.078,0.071,-0.009
-0.011,-0.004,0.003
-0.173,0.003,0
-0.061,0.013,0.005
-0.011,-0.022,0.001
-0.049,0.02,0.011
0.001,-0.03,0.005
0.008,0.008,-0.02
0.059,0.025,-0.002
0.037,-0.039,0.002
0.036,-0.098,-0.001
-0.004,0.079,-0.005
-0.026,0.011,0.011
0.025,-0.017,0.005
-0.071,0.013,0.014
0.054,-0.029,0.005
-0.104,-0.008,-0.007
0.11,0.029,0.005
0.15,-0.052,-0.007
0.057,-0.063,-0.006
0.065,-0.033,-0.004
0.044,-0.001,0.014
-0.157,-0.017,0
-0.009,0.059,-0.005
0.058,0.039,-0.013
-0.015,-0.011,0.004
0.092,-0.099,0.006
0.092,-0.071,0.004
0.016,0.015,0.002
0.037,0.034,0
-0.072,-0.001,0.004
-0.111,0.025,-0.019
0.015,0.028,-0.014
0.085,-0.007,-0.003
0.261,-0.032,-0.001
0.045,-0.023,-0.005
-0.06,-0.021,-0.013
-0.09,-0.004,-0.006
-0.038,-0.028,-0.012
-0.094,-0.011,0.009
-0.033,-0.006,-0.008
-0.051,0.016,0
0.077,0.003,0.009
0.134,-0.038,-0.006
0.099,0.089,-0.011
0.078,0.093,0.018
0.042,-0.12,0.001
0.008,-0.052,-0.007
-0.015,0.026,-0.01
-0.028,0.05,-0.007
0.037,0.041,0.01
-0.003,0.016,0.006
